 Identifiant, Temperature, Date et heure d'enregistrement

 1, 19, 2018-01-16 18:14:54.600342
 2, 20, 2018-01-16 18:14:41.970486
 3, 20, 2018-01-16 18:14:34.854505
 4, 20, 2018-01-16 18:14:27.738517
 5, 20, 2018-01-16 18:14:20.622530
 6, 20, 2018-01-16 18:14:13.506541
 7, 20, 2018-01-16 18:14:06.390552
 8, 20, 2018-01-16 18:13:59.274563
 9, 21, 2018-01-16 18:13:52.152575
 10, 21, 2018-01-16 18:13:45.186586
 11, 21, 2018-01-16 18:13:38.220598
 12, 21, 2018-01-16 18:13:31.248609
 13, 21, 2018-01-16 18:13:24.282620
